date: 2023-09-19 14:52:57.226390, count_files: 5 , size_files: 1M, proc_static: 1.61 1.31 1.19 1/518 4751
date: 2023-09-19 14:53:27.258871, count_files: 5 , size_files: 1M, proc_static: 2.83 1.62 1.29 1/522 4786
date: 2023-09-19 14:53:27.304074, count_files: 5 , size_files: 1M, proc_static: 2.83 1.62 1.29 5/522 4790
date: 2023-09-19 15:01:32.729403, count_files: 5 , size_files: 1M, proc_static: 1.65 1.41 1.29 1/516 4850
date: 2023-09-19 15:01:32.872961, count_files: 5 , size_files: 1M, proc_static: 1.65 1.41 1.29 1/516 4852
date: 2023-09-19 15:02:25.052971, count_files: 5 , size_files: 1M, proc_static: 1.74 1.50 1.33 1/519 4887
date: 2023-09-19 15:02:25.090865, count_files: 5 , size_files: 1M, proc_static: 1.74 1.50 1.33 4/519 4891
date: 2023-09-19 15:13:30.026229, count_files: 5 , size_files: 1M, proc_static: 2.44 1.48 1.23 1/521 4983
date: 2023-09-19 15:13:53.912143, count_files: 5 , size_files: 1M, proc_static: 2.27 1.50 1.25 4/524 5011
date: 2023-09-19 15:20:29.598361, count_files: 5 , size_files: 1M, proc_static: 1.71 1.67 1.42 1/522 5098
date: 2023-09-19 15:20:29.637554, count_files: 5 , size_files: 1M, proc_static: 1.71 1.67 1.42 1/522 5102
date: 2023-09-19 15:20:29.809764, count_files: 5 , size_files: 1M, proc_static: 1.71 1.67 1.42 1/522 5118
date: 2023-09-19 15:28:06.485225, count_files: 5 , size_files: 1M, proc_static: 1.80 1.88 1.64 6/525 5205
date: 2023-09-19 15:28:10.372857, count_files: 5 , size_files: 1M, proc_static: 2.13 1.94 1.67 6/525 5223
date: 2023-09-19 15:28:12.504629, count_files: 5 , size_files: 1M, proc_static: 2.13 1.94 1.67 4/525 5239
date: 2023-09-19 15:30:04.616341, count_files: 5 , size_files: 1M, proc_static: 2.26 2.12 1.77 1/522 5278
date: 2023-09-19 15:30:06.815576, count_files: 5 , size_files: 1M, proc_static: 2.24 2.12 1.77 1/520 5296
date: 2023-09-19 15:30:09.090133, count_files: 5 , size_files: 1M, proc_static: 2.24 2.12 1.77 6/521 5313
date: 2023-09-19 15:30:09.139950, count_files: 5 , size_files: 1M, proc_static: 2.24 2.12 1.77 6/521 5315
date: 2023-09-19 15:32:36.579334, count_files: 5 , size_files: 1M, proc_static: 2.19 2.14 1.83 3/524 5360
date: 2023-09-19 15:32:38.735715, count_files: 5 , size_files: 1M, proc_static: 2.19 2.14 1.83 4/524 5378
date: 2023-09-19 15:32:40.839503, count_files: 5 , size_files: 1M, proc_static: 2.10 2.12 1.83 3/524 5394
date: 2023-09-19 15:32:40.897112, count_files: 5 , size_files: 1M, proc_static: 2.10 2.12 1.83 3/524 5396
